First Light Compose — ROI Calculator,,,,,
Edit yellow cells (assumptions) to model a specific customer,,,,,
Assumptions benchmarked: BLS ECEC benefits load ~30% on senior EE base; design-firm full program $25k-60k; bench instrument street prices (Siglent/Tek/Keithley 2025),,,,,
,,,,,
ASSUMPTIONS — TRADITIONAL PATH,,,,,
Parameter,Value,Unit,Notes,,
Engineers assigned per board program,1,FTE,Senior EE; contractor layout/firmware help captured in NRE line,,
Months per board program (design + bring-up),2.5,months,~6-8 wk design + fab wait + bring-up incl respins,,
Loaded cost per engineer per month,20000,USD/month,$160k-180k base × ~1.35 load (BLS benefits ~30% + overhead),,
Lab instrument capex (scope DMM supply logic SMU),80000,USD,One-time; bench-grade. $150k-300k only for RF/EMC characterization labs,,
Instrument amortization period,5,years,,
Fab spins per program,2,spins,,
Cost per fab spin,3000,USD,PCB + assembly prototype lot,,
Test/fixture + contractor NRE per program,15000,USD,Custom fixture + layout/firmware contractor + manual test time,,
,,,,,
ASSUMPTIONS — FIRST LIGHT PATH,,,,,
Parameter,Value,Unit,Notes,,
Compose tier,Enterprise,,Team or Enterprise,,
Annual platform fee,120000,USD/year,Enterprise mid-point,,
Board programs included per year,60,programs,Enterprise bundle,,
Overage cost per additional program,5000,USD,Standard complexity,,
Board programs customer runs per year,12,programs,Customer input,,
FL-1 purchased Year 1,1,units,0 or 1,,
FL-1 unit price,49500,USD,Founding price,,
Fab orders through Compose per year,12,orders,,
Average fab order value,2500,USD,PCB + assembly,,
Compose fab attach rate,0.10,percent,10% margin,,
,,,,,
TRADITIONAL — PER PROGRAM (VARIABLE COST),,,,,
Line item,Calculation,Amount USD,,
Engineering labor,"= engineers × months × loaded monthly",50000,=B7*B8*B9,,
Fab spins,"= spins × cost per spin",6000,=B12*B13,,
Test/fixture + contractor NRE,,15000,=B14,,
VARIABLE COST PER PROGRAM,,71000,Sum of above,,
,,,,,
TRADITIONAL — ANNUAL (at customer run rate),,,,,
Line item,Calculation,Amount USD,,
Variable program cost,"= per program × programs/yr",852000,12 programs,,
Lab instruments (annual amortized),"= capex / amort years",16000,Fixed annual — counted once per YEAR not per program,,
TOTAL TRADITIONAL ANNUAL,,868000,,
Effective cost per program,"= annual / programs",72333,,
,,,,,
FIRST LIGHT — YEAR 1 COST,,,,,
Line item,Amount USD,Notes,,
Compose platform (annual),120000,,,
Board program overage,"= MAX(0, programs - included) × overage",0,Programs within bundle,,
FL-1 hardware (if purchased),49500,,,
Fab attach paid to First Light,"= orders × avg order × attach rate",3000,,
TOTAL FIRST LIGHT YEAR 1,,172500,Sum,,
,,,,,
FIRST LIGHT — YEAR 2+ (no FL-1 capex),,,,,
Compose platform,,120000,,
Overage programs,,0,Adjust if > included,,
Fab attach,,3000,,
TOTAL FIRST LIGHT YEAR 2+,,123000,,
,,,,,
SAVINGS SUMMARY,,,,,
Metric,Value,Notes,,
Year 1 savings vs traditional,"= traditional annual - FL year 1",695500,,
Year 1 ROI multiple,"= traditional / FL year 1",5.0x,,
Year 2+ ROI multiple,"= traditional / FL year 2+",7.1x,,
Payback period (months),"= FL year 1 / (traditional annual / 12)",2.4,months if replacing full traditional spend,,
Cost per board program (First Light Y1),"= FL year 1 / programs",14375,,
Cost per board program (Traditional),"= effective per program",72333,,
Savings per board program,,57958,,
,,,,,
SENSITIVITY — BOARD PROGRAMS PER YEAR,,,,,
Programs/yr,Traditional annual,First Light Y1,Savings Y1,Savings %
6,442000,172500,269500,61%
12,868000,172500,695500,80%
24,1720000,172500,1547500,90%
36,2572000,172500,2399500,93%
,,,,,
SENSITIVITY — COMPOSE TIER,,,,,
Tier,Annual fee,Included programs,FL-1 bundle,Best for
Pilot,15000,5,No,Eval / single program
Team,48000,24,Optional,Startup lab
Enterprise,120000,60,Recommended,Prime / gov lab
Defense,250000,Unlimited*,Recommended,Classified / ITAR
,,,,,
*Fair use policy applies,,,,,
,,,,,
DEFENSE-GRADE PROGRAM VARIANT (use for primes only),,,,,
"If modeling a 2-EE, 4-month, characterization-lab program (high-speed/RF), set:",,,,,
Engineers,2,,Months,4,
Loaded monthly,22000,,Instrument capex,200000,
"Yields ~$203k variable/program — use ONLY when the prospect actually runs that class of board; Compose ships 4-layer embedded/instrument boards today",,,,,
