Category,Subsystem,Recommended Part,Vendor,Qty,Approx Unit Cost USD,Approx Extended Cost USD,Build Decision,Role,Source URL,Notes
Instrumentation,Oscilloscope,PicoScope 5444D MSO,Pico Technology,1,3000-4000,3000-4000,V1 BUY,4-channel scope plus optional digital inputs,https://www.picotech.com/oscilloscope/5000/flexible-resolution-oscilloscope,Selected v1 scope. Screenless USB. PicoSDK. 200MHz FlexRes 8-16 bit. Never build custom.
Instrumentation,Oscilloscope Lower Cost,PicoScope 2408B,Pico Technology,1,1000-1700,1000-1700,FALLBACK,Lower-cost 4-channel 100MHz scope,https://www.picotech.com/products/oscilloscope-specifications/,Fallback only if cost-constrained
Instrumentation,Logic Analyzer,Logic Pro 16,Saleae,1,1499,1499,V1 BUY,16-channel protocol capture,https://www.saleae.com/support/specifications-hardware/datasheets-and-compliance/saleae-part-numbers,Selected v1 logic analyzer. Python automation API. Never build custom.
Instrumentation,Precision DAQ (DMM role),USB-2416-4AO,MCC / Digilent,1,1499,1499,V1 BUY,Screenless 24-bit 32SE/16DIFF analog input DAQ,https://digilent.com/shop/mcc-usb-2416-4ao-expandable-thermocouple-and-voltage-measurement-usb-daq-device/,Selected v1 precision DC measurement. Serves the DMM role internally. Never build custom.
Instrumentation,Precision DAQ Lower Cost,USB-2408-2AO,MCC / Digilent,1,809,809,FALLBACK,Screenless 24-bit 16SE/8DIFF analog input DAQ,https://digilent.com/shop/mcc-usb-2408-2ao-high-precision-thermocouple-and-voltage-measurement-usb-daq-device/,Fallback lower channel-count option
Instrumentation,Utility I/O Board,T7-OEM or T7-Pro-OEM,LabJack,1,500-900,500-900,V1 BUY,PCB-only DAQ/control board for integration,https://www.meilhaus.de/en/labjack-t7-oem.htm,Selected v1 utility I/O: sensors interlocks vacuum LEDs misc
Instrumentation,External Calibration Reference,DAQ970A or 34465A,Keysight,1,2100-5000,0,BENCH ONLY,External lab reference only,https://www.keysight.com/us/en/products/modular/data-acquisition-daq/digital-acquisition-benchtop-system/daq970a-data-acquisition-system.html,Never embedded. Engineering bench calibration reference.
Instrumentation,DUT Power V1,SPD1305X,Siglent,1,300-500,300-500,V1 BUY,0-30V 0-5A SCPI programmable supply,https://telonic.co.uk/product/siglent-spd1305x-0-30v-0-5a-programmable-dc-power-supply/,V1 prototype stand-in mounted in service bay with screen hidden. Replaced by custom board in v2 production.
Instrumentation,DUT Power Production,Custom protected programmable power board,Custom,1,1000-5000,1000-5000,V2 BUILD,Internal screenless CV/CC DUT power with protection and calibration,TBD,Production path. CV/CC remote sense current measurement eFuse OVP/OCP output relay discharge calibration EEPROM.
Instrumentation,DUT Power Enterprise,PXIe-4112,NI,1,Quote,Quote,ENTERPRISE ONLY,2-channel 60V 1A 120W PXIe programmable power module,https://www.ni.com/en/shop/hardware/power-supplies/model-pxie-4112,Enterprise/defense config only. Requires PXIe chassis. Not in base flagship.
Instrumentation,Low-Power Source Enterprise,PXI-4110,NI,1,Quote,Quote,ENTERPRISE ONLY,3-channel lower-power PXI programmable power module,https://www.ni.com/en/shop/hardware/power-supplies/model-pxi-4110,Enterprise config only. Requires PXI chassis.
Instrumentation,Electronic Load V1,SDL1030X,Siglent,1,1000-1300,1000-1300,V1 BUY,150V 30A 300W SCPI programmable DC load,https://www.siglent.eu/product/1140872/siglent-sdl1030x-150-v-30-a-300w-dc-load-0-1-mv-0-1-ma-readback,V1 prototype stand-in mounted in service bay with screen hidden. Replaced by custom board in v2 production.
Instrumentation,Electronic Load Production,Custom internal e-load board,Custom,1,1000-5000,1000-5000,V2 BUILD,Internal screenless CC/CV/CR/CP load with thermal integration,TBD,Production path. Thermal management protection calibration.
Instrumentation,Electronic Load Enterprise,PXIe-4051,NI,1,Quote,Quote,ENTERPRISE ONLY,60V 40A 300W PXIe electronic load module,https://www.ni.com/en/shop/hardware/electronic-load/model-pxie-4051,Enterprise config only. Requires PXIe chassis.
Custom Boards,Relay/Probe Matrix,Custom protected reed relay matrix PCB,Custom,1,1000-5000,1000-5000,V1 BUILD,Route any probe to scope/DAQ/logic/power/load paths,TBD,CORE PRODUCT IP. The one board that must be custom from day one. Guarded paths relay cycle counting calibration paths. May share PCB with protection board in v1.
Custom Boards,Probe Protection,Custom probe protection board,Custom,1,500-3000,500-3000,V1 BUILD,Protect instruments and DUT from overvoltage ESD shorts mis-probes,TBD,TVS current limit relay isolation fusing controlled discharge. Combine with relay matrix PCB in v1 if layout allows.
Custom Boards,Probe Cartridge PCB,Custom cartridge PCB/flex,Custom,1-3,300-2500,300-7500,V1 BUILD,Replaceable probe interface with force sensor AFE and camera breakout,TBD,Lives in probe head. Signal conditioning at the head keeps coax runs short.
Custom Boards,Calibration/Verification Board,Custom self-test board,Custom,1,200-1500,200-1500,V2 BUILD,Built-in self-test precision references known loads loopback probe targets,TBD,Pull into v1 if schedule allows. Cheap and high leverage.
Instrumentation,Relay Matrix Enterprise,40-533C 64x4 Matrix,Pickering,1,5000-8000,5000-8000,ENTERPRISE ONLY,COTS PXI reed relay matrix,https://www.pickeringtest.com/en-us/products/pxi/pxi-switching-modules/pxi-matrix-switch-modules/high-density-matrix,Reference standard / enterprise upgrade only. Requires PXI chassis.
Motion,Servo Motor,ClearPath-SD NEMA 23,Teknic,3,315-800,945-2400,V1 BUY,Integrated servo motors for X/Y/Z,https://teknic.com/products/clearpath-brushless-dc-servo-motors/,Fastest clean integration
Motion,Servo Motor Alternative,DYN4 servo drive and motor,DMM Technology,3,400-700,1200-2100,FALLBACK,AC servo motor/drive kit,https://www.dmm-tech.com/dyn4-ac-servo-drive,Lower-cost but more wiring
Motion,Motion Controller,DMC-4133,Galil,1,1510,1510,V1 BUY,3-axis industrial motion controller,https://www.galil.com/motion-controllers/multi-axis/dmc-41x3,Industrial credibility and support
Motion,Linear Rails,MGN15/MGN15H,Hiwin,6,75-200,450-1200,V1 BUY,Precision linear rails and blocks,https://epicriseelectronics.com/products/genuine-hiwin-mgn15h-linear-guideway,Use genuine rails for flagship
Motion,Ballscrews,SFU/RM1605 kits,VXB/CNC4You/Misumi,3,100-500,300-1500,V1 BUY,Ballscrew plus nut and BK/BF supports,https://vxb.com/products/sfu1605-500mm-ball-screw-set-cnc,C7 prototype; C5 commercial if needed
Vision,Overhead Camera,ace USB3/GigE 5MP class,Basler,1,500-1800,500-1800,V1 BUY,Machine vision overhead camera,https://www.baslerweb.com/en-us/cameras/ace/,Use C-mount optics
Vision,Probe Camera,5MP OG05B10 Global Shutter USB3,Arducam,1,400-415,400-415,V1 BUY,Probe-mounted camera,https://www.arducam.com/presalesarducam-5mp-og05b10-color-global-shutter-usb-3-0-camera.html,Good lower-cost board/head camera
Vision,Chamber Lighting,WLS27 or vision linear array,Banner Engineering,2,300-700,600-1400,FALLBACK,Industrial LED chamber/vision lights,https://www.bannerengineering.com/ca/en/products/accessories/vision-lighting/linear-array-lights.html,V1 uses cheap 24V strips; upgrade if vision repeatability demands
Probe,Pogo Probes,Conventional ICT/FCT probe assortment,QA Technology,1,300-1500,300-1500,V1 BUY,Replaceable signal/ground/differential probes,https://www.qatech.com/en/products/conventional-probes/conventional-probes.html,Buy assortment for cartridge iteration
Probe,Pogo Probe Example,P2663G-1C1S,Everett Charles,1,80 per 10-pack,80-500,V1 BUY,Spring probe contact,https://www.newark.com/everett-charles-tech/p2663g-1c1s/test-spring-probe-pcb/dp/84F964,Example priced test probe
Probe,Force Sensor,FSS015WNGB,Honeywell,2,100-150,200-300,V1 BUY,Probe contact force detection,https://uk.rs-online.com/web/p/strain-gauges/2036947,AFE lives on custom probe cartridge PCB
Fixture,Vacuum Ejector,ZH13BSA-08-10,SMC,1,50-80,50-80,V1 BUY,Vacuum hold-down source,https://uk.rs-online.com/web/p/vacuum-generators/2315359,Optional but useful for thin boards
Control,Industrial PC,BOXER/ARK fanless i5/i7,AAEON or Advantech,1,1200-2700,1200-2700,V1 BUY,Main control computer,https://eshop.aaeon.com/din-rail-fanless-12th-generation-intel-embedded-box-pc-boxer-6751-adp-i7.html,Use fanless industrial PC for demos/customers
Safety,Safety Relay,G9SE-201 or G9SE-401,Omron,1,110-270,110-270,V1 BUY,E-stop and door interlock safety relay,https://uk.rs-online.com/web/p/safety-relays/2655203,Use from day one
Safety,E-stop and Interlocks,E-stop button and door switches,Omron/Sick/Banner,1,200-800,200-800,V1 BUY,Operator safety,TBD,Exact parts depend on enclosure design
Electrical,24V Power,Industrial 24V DIN rail PSU,Mean Well/Phoenix/TDK,2,100-400,200-800,V1 BUY,Controls lighting valves sensors,TBD,Select after current budget
Electrical,Harnessing,Shielded coax signal harness,Custom,1,1000-5000,1000-5000,V1 BUILD,Probe/instrument/motion wiring,TBD,Custom harness is unavoidable
Mechanical,Frame and Plates,Aluminum frame and machined plates,Custom,1,5000-20000,5000-20000,V1 BUILD,Machine structure and fixture deck,TBD,Use local machine shop for prototype
Mechanical,Enclosure,Sheet metal and smoked glass,Custom,1,5000-20000,5000-20000,V1 BUILD,Final industrial exterior,TBD,Depends heavily on finish and quantity
